group,label,representation,month,year,part,region,rms_wind_m_s,rms_geostrophic_m_s,rms_residual_m_s,residual_over_wind_rms,mean_speed_m_s,max_speed_m_s,strong_direction_abs_mean_deg,direction_area_fraction,valid_area_fraction
historical_reference,2019-01,L12_native,1,2019,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
historical_reference,2019-01,L12_native,1,2019,anomaly,review,4.643742621984618,4.713190657647241,1.7285110010981957,0.37222368718606413,4.293492719523527,8.623831995170747,15.550930763710733,0.48499184067038525,1.0
historical_reference,2019-01,L12_native,1,2019,anomaly,focus,5.410897234452448,5.809617454964075,2.2488400205844505,0.4156131456841502,5.085479709678246,8.623831995170747,17.688611753012196,0.7963060496036417,1.0
historical_reference,2019-01,L12_fine,1,2019,total,review,24.162280016388063,26.12704219226598,2.6975629220730846,0.1116435584822071,21.26258727179693,39.95682460368948,1.804480913057356,0.5467919572300038,1.0
historical_reference,2019-01,L12_fine,1,2019,total,focus,32.18290782802984,35.27221866847808,3.3773648386602995,0.10494281177783349,31.337440558428828,39.95682460368948,0.9650160317742262,0.8871477707906924,1.0
historical_reference,2019-01,L12_fine,1,2019,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
historical_reference,2019-01,L12_fine,1,2019,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
historical_reference,2019-01,L12_fine,1,2019,anomaly,review,4.644470470842164,4.755284867068054,1.7434617828214682,0.3753844046951887,4.295185601577833,8.679998368162366,15.572986928195508,0.48436979399018343,1.0
historical_reference,2019-01,L12_fine,1,2019,anomaly,focus,5.418110167491106,5.879599614364576,2.2976632421809535,0.4240709714555145,5.092174559455273,8.679998368162366,17.699377744165126,0.8119456269320522,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,total,review,24.159796088516078,26.12704219226598,2.691167110058694,0.11139030727738183,21.29628883421683,39.95679353707448,1.510082825229859,0.5566396268832473,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,total,focus,32.21657888008109,35.27221866847808,3.2943493048712322,0.10225633569392023,31.391384145816374,39.95679353707448,0.7878458608365089,0.8906814321235722,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,anomaly,review,4.644470470842164,4.755284867068054,1.7434617828214682,0.3753844046951887,4.295185601577832,8.67999836816237,15.421007756995657,0.4883968285735439,1.0
historical_reference,2019-01,matched_hybrid_fine,1,2019,anomaly,focus,5.418110167491106,5.879599614364576,2.297663242180953,0.4240709714555144,5.092174559455274,8.67999836816237,17.69937774416513,0.8119456269320522,1.0
historical_reference,2020-01,native,1,2020,total,review,21.032428387443005,22.39974603214587,1.7032327711738784,0.08098127043621647,19.052039817320715,35.32430143530915,1.275025785473935,0.46737459939909726,1.0
historical_reference,2020-01,native,1,2020,total,focus,28.442821790820354,30.743996558844085,2.513344219332917,0.08836479860602561,27.937983045579852,35.32430143530915,1.171427487160633,0.9179557853864498,1.0
historical_reference,2020-01,native,1,2020,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2020-01,native,1,2020,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2020-01,native,1,2020,anomaly,review,4.696696523982442,4.959007734764238,1.069558585185913,0.22772571736847258,4.247732667358388,13.913573492718664,9.210398720624184,0.369342240017331,1.0
historical_reference,2020-01,native,1,2020,anomaly,focus,3.6065598702815462,3.3762851771905225,1.243475827889714,0.3447816957472668,3.2302468459039515,7.219618969647689,9.680970913856273,0.6286953733914957,1.0
historical_reference,2020-01,L12_native,1,2020,total,review,20.879022076750278,22.15480822753207,1.8053725018709588,0.08646825005665958,18.77883934570857,36.22827882554977,1.0266626594172084,0.47539636279668784,1.0
